person_id,name,full_name,party,caucus_short_name,province,constituency,presence_rate,present,paired,absent,total_votes,tenure_months,years_in_house,elections_won,interventions_count,committee_interventions_count,bills_sponsored_current,committees_count,associations_count,position_leadership_score,position_leadership_rank,position_leadership_percentile,position_leadership_score_percentile_in_party,activity_index_score,activity_index_rank,activity_index_percentile,activity_index_score_percentile,activity_index_score_percentile_in_party,activity_index_score_rank,associations_count_percentile,associations_count_percentile_in_party,associations_count_rank,bills_sponsored_current_percentile,bills_sponsored_current_percentile_in_party,bills_sponsored_current_rank,chamber,committee_interventions_count_percentile,committee_interventions_count_percentile_in_party,committee_interventions_count_rank,committee_per_month,committees_count_percentile,committees_count_percentile_in_party,committees_count_rank,computed_at,interventions_count_percentile,interventions_count_percentile_in_party,interventions_count_rank,interventions_per_month,metrics_version,parliament,political_alignment_score,presence_rate_percentile,presence_rate_percentile_in_party,presence_rate_rank,session,tenure_months_percentile,tenure_months_percentile_in_party,tenure_months_rank
1787,Judy A. Sgro,Judy A. Sgro,Liberal,Liberal,Ontario,Humber River—Black Creek,100.0,,,,,314,,,37,255,6,4,18,18.83,,,,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88485,Gabriel Ste-Marie,Gabriel Ste-Marie,Bloc Québécois,Bloc Québécois,Quebec,Joliette—Manawan,100.0,,,,,123,,,59,241,3,2,17,10.67,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88633,François-Philippe Champagne,François-Philippe Champagne,Liberal,Liberal,Quebec,Saint-Maurice—Champlain,100.0,,,,,123,,,400,130,2,,4,80.00,,,,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109915,Lena Metlege Diab,Lena Metlege Diab,Liberal,Liberal,Nova Scotia,Halifax West,100.0,,,,,52,,,236,320,1,,14,70.00,,,,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25475,James Bezan,James Bezan,Conservative,Conservative,Manitoba,Selkirk—Interlake—Eastman,98.3,,,,,258,,,66,120,1,2,18,10.67,,,,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104973,Andréanne Larouche,Andréanne Larouche,Bloc Québécois,Bloc Québécois,Quebec,Shefford,100.0,,,,,75,,,159,86,1,2,17,10.67,,,,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89200,Rachael Thomas,Rachael Thomas,Conservative,Conservative,Alberta,Lethbridge,100.0,,,,,123,,,64,281,1,2,10,10.67,,,,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110373,Michael Coteau,Michael Coteau,Liberal,Liberal,Ontario,Scarborough—Woburn,100.0,,,,,52,,,40,412,1,3,10,17.40,,,,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104947,Christine Normandin,Christine Normandin,Bloc Québécois,Bloc Québécois,Quebec,Saint-Jean,98.3,,,,,75,,,82,114,,3,17,26.12,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122579,Alexis Deschênes,Alexis Deschênes,Bloc Québécois,Bloc Québécois,Quebec,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,98.3,,,,,8,,,129,379,,2,17,28.03,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
